,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
268,269,ESS,0.78,4.53,6.99%,9.38%,6.13%,-21.11%,21.48%,71.13,236.92,0.90%,0.21%,0.69%,728773
269,270,ET,1.7,0.21,0.70%,1.24%,4.12%,-6.22%,40.11%,55.03,12.82,-0.16%,-0.39%,0.23%,9260684
270,271,ETN,1.13,4.77,4.82%,11.03%,19.12%,-3.15%,56.13%,61.8,191.26,-2.86%,-0.73%,-2.15%,6246828
271,272,ETR,0.65,1.76,2.21%,-2.39%,-5.32%,-16.70%,7.45%,51.94,102.01,-0.18%,-0.33%,0.16%,3772342
272,273,ETSY,2.01,3.87,7.16%,-0.03%,-15.01%,-36.90%,41.17%,56.15,94.6,-1.43%,-1.93%,0.51%,4232949
273,274,EVRG,0.5,1.01,1.20%,-2.44%,-3.20%,-17.14%,9.59%,48.9,59.31,-0.50%,-0.42%,-0.08%,2716179
274,275,EW,1.02,2.05,7.51%,6.65%,13.10%,-14.81%,36.96%,68.81,91.94,0.71%,-0.04%,0.76%,6594329
275,276,EXAS,1.41,2.82,9.05%,23.98%,65.31%,-0.67%,219.17%,74.32,93.42,0.03%,-0.57%,0.61%,2269490
276,277,EXC,0.54,0.7,3.29%,-0.64%,0.32%,-12.75%,17.12%,58.51,41.21,0.96%,0.86%,0.10%,9590593
277,278,EXPD,0.99,2.45,3.36%,4.94%,11.54%,-0.89%,38.05%,61.7,118.83,-0.37%,-0.97%,0.61%,3246628
278,279,EXPE,1.61,3.33,3.29%,9.82%,6.98%,-15.27%,28.50%,57.0,105.87,-1.16%,-1.52%,0.36%,3788663
279,280,EXR,0.55,3.45,-0.51%,-3.86%,-9.16%,-32.90%,3.79%,45.59,145.28,-0.34%,0.19%,-0.53%,1572912
280,281,F,1.58,0.4,13.75%,17.29%,16.46%,-9.17%,42.79%,76.16,14.42,-0.21%,-0.55%,0.35%,75215766
281,282,FANG,2.00,3.86,-1.39%,-4.40%,-6.32%,-21.93%,29.42%,45.43,128.74,1.64%,1.36%,0.28%,4052750
282,283,FAST,1.16,1.09,3.18%,4.43%,10.99%,-0.12%,29.38%,61.67,56.58,0.60%,0.50%,0.11%,6521724
283,284,FCNCA,0.98,39.69,-0.13%,11.72%,46.59%,-4.64%,153.64%,58.21,1282.99,-1.21%,-1.45%,0.25%,182279
284,285,FCNCO,-,0.44,-0.76%,-1.11%,-2.80%,-16.41%,22.41%,47.2,20.3,-1.00%,-1.62%,0.63%,8366
285,286,FCNCP,-,0.36,-0.82%,-4.64%,-5.63%,-16.74%,5.56%,40.23,19.74,0.41%,0.05%,0.36%,6075
286,287,FCX,2.00,1.13,9.23%,5.78%,7.84%,-14.48%,61.83%,66.35,39.89,-0.47%,0.38%,-0.85%,16104764
287,288,FDS,0.84,8.49,6.11%,4.55%,0.87%,-11.22%,21.68%,66.8,420.91,-0.33%,-0.84%,0.51%,512862
