,No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
66,67,AVB,2.20%,8.62%,19.16%,11.84%,2.60%,19.15%,1.32%,1.69%,2.5,771.62K,2.12,192.45,1.01%,1635482
67,68,AVGO,7.89%,32.04%,37.58%,51.12%,64.82%,55.26%,3.62%,3.85%,1.9,2.80M,2.44,868.11,-1.73%,6824997
68,69,AVTR,1.63%,-1.63%,-3.86%,-5.76%,-34.83%,-5.41%,3.16%,2.77%,2.0,6.16M,1.39,19.95,0.25%,8557076
69,70,AVY,5.27%,0.49%,2.78%,-5.92%,6.20%,-5.48%,2.22%,2.17%,1.8,566.66K,1.63,171.09,1.19%,921733
70,71,AWK,1.58%,3.74%,5.06%,-5.92%,10.34%,-2.26%,1.72%,1.71%,2.5,884.91K,2.31,148.98,0.60%,2040747
71,72,AXON,3.87%,2.37%,-5.05%,16.62%,122.67%,21.96%,2.37%,2.52%,1.7,1.09M,2.92,202.36,0.13%,3199447
72,73,AXP,0.29%,13.23%,10.02%,11.74%,17.77%,16.55%,1.81%,1.98%,2.4,3.26M,1.42,172.21,-0.92%,4613584
73,74,AZN,1.57%,0.70%,14.65%,6.79%,24.19%,10.94%,1.21%,1.39%,1.8,4.15M,1.18,75.22,0.80%,4899807
74,75,AZO,5.53%,-6.93%,5.45%,5.65%,23.84%,1.12%,2.13%,2.27%,2.0,171.55K,2.43,2493.83,-0.14%,417251
75,76,AZPN,2.22%,-0.77%,-16.12%,-20.94%,-9.66%,-18.53%,2.03%,2.10%,2.4,232.39K,2.1,167.33,0.31%,488136
76,77,BA,1.23%,6.34%,9.42%,16.86%,64.52%,15.49%,2.47%,2.48%,2.1,5.48M,1.42,219.99,0.26%,7771621
77,78,BABA,7.72%,1.57%,12.77%,1.31%,-14.75%,4.55%,2.47%,2.95%,1.8,23.75M,1.05,92.1,-0.11%,24987197
78,79,BAC,-0.27%,2.17%,4.92%,-9.57%,-8.92%,-11.87%,2.39%,2.16%,2.4,56.33M,0.92,29.19,-0.61%,51849290
79,80,BAH,4.93%,16.70%,22.71%,2.66%,30.56%,3.91%,1.65%,2.02%,2.3,944.10K,1.24,108.61,1.15%,1171995
80,81,BALL,11.13%,5.49%,13.50%,7.29%,-11.83%,14.25%,4.12%,3.08%,2.70,1.71M,6.75,58.43,7.23%,11536699
81,82,BAM,4.46%,5.22%,8.27%,12.75%,-,16.01%,2.14%,2.08%,2.60,1.45M,1.42,33.26,-1.77%,2063425
82,83,BAP,6.26%,9.36%,19.81%,9.95%,17.26%,10.05%,2.18%,2.11%,2.30,356.42K,1.71,149.29,0.60%,610284
83,84,BATRA,4.87%,6.06%,26.58%,25.05%,60.75%,26.51%,2.89%,2.25%,2.00,49.97K,3.69,41.33,-0.12%,184625
84,85,BATRK,3.98%,4.39%,23.96%,21.95%,60.14%,23.27%,3.13%,2.45%,2.30,115.96K,2.16,39.73,-0.95%,250946
85,86,BAX,8.08%,6.03%,20.70%,-13.27%,-33.13%,-11.01%,2.38%,2.23%,2.60,5.67M,1.4,45.36,2.02%,7916070
86,87,BBD,1.15%,9.82%,39.30%,39.55%,1.29%,27.92%,1.91%,2.43%,2.70,26.72M,0.82,3.51,-0.28%,21857921
87,88,BBVA,5.37%,6.89%,16.59%,26.92%,66.67%,23.96%,1.26%,1.35%,1.00,1.90M,0.57,7.45,0.81%,1079221
88,89,BBY,6.05%,7.91%,3.99%,-1.27%,11.19%,-0.52%,2.31%,2.70%,3.00,2.41M,2.67,79.79,1.03%,6434063
89,90,BCE,-0.59%,-2.77%,4.62%,0.33%,-7.66%,3.98%,1.00%,1.06%,2.70,1.27M,1.43,45.7,0.64%,1814152
90,91,BCH,-1.02%,-2.70%,17.34%,9.09%,6.89%,2.07%,1.98%,2.18%,2.90,145.32K,3.03,21.25,0.24%,440888
